0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 
1 0 7 13 33 25 63 2 27 49 46 62 26 3 36 53 24 34 48 28 57 60 43 51 16 5 12 8 19 42 61 47 35 4 17 32 14 55 45 50 44 56 29 22 40 38 10 31 18 9 39 23 54 15 52 37 41 20 59 58 21 30 11 6 
2 7 0 8 14 34 26 1 3 28 50 47 63 27 4 37 54 25 35 49 29 58 61 44 52 17 6 13 9 20 43 62 48 36 5 18 33 15 56 46 51 45 57 30 23 41 39 11 32 19 10 40 24 55 16 53 38 42 21 60 59 22 31 12 
7 2 1 27 36 17 12 0 13 19 39 31 6 8 33 55 52 5 32 9 42 59 30 40 54 34 63 3 49 57 22 11 18 14 25 48 4 53 41 10 23 38 20 61 51 56 50 62 35 28 46 44 16 37 24 15 45 29 60 21 58 43 47 26 
3 13 8 0 9 15 35 27 2 4 29 51 48 1 28 5 38 55 26 36 50 30 59 62 45 53 18 7 14 10 21 44 63 49 37 6 19 34 16 57 47 52 46 58 31 24 42 40 12 33 20 11 41 25 56 17 54 39 43 22 61 60 23 32 
13 3 27 1 49 53 32 8 7 33 42 23 18 0 19 25 45 37 12 14 39 61 58 11 38 15 48 2 36 46 60 40 6 9 55 63 28 17 24 20 31 54 10 59 47 16 29 44 26 4 57 62 56 5 41 34 52 50 22 43 30 21 51 35 
8 27 3 2 28 37 18 13 0 14 20 40 32 7 9 34 56 53 6 33 10 43 60 31 41 55 35 1 4 50 58 23 12 19 15 26 49 5 54 42 11 24 39 21 62 52 57 51 63 36 29 47 45 17 38 25 16 46 30 61 22 59 44 48 
27 8 13 7 19 55 48 3 1 36 57 44 35 2 49 17 41 15 63 4 46 22 21 47 56 37 32 0 33 39 59 51 26 28 53 12 9 25 52 29 62 16 50 60 11 54 20 23 6 14 42 31 38 34 45 5 24 10 61 30 43 58 40 18 
4 33 14 9 0 10 16 36 28 3 5 30 52 49 2 29 6 39 56 27 37 51 31 60 63 46 54 19 8 15 11 22 45 1 50 38 7 20 35 17 58 48 53 47 59 32 25 43 41 13 34 21 12 42 26 57 18 55 40 44 23 62 61 24 
33 4 36 49 1 46 24 14 19 13 25 61 54 9 7 42 63 50 41 8 55 23 47 21 6 10 52 28 27 53 62 43 38 0 39 45 2 57 32 34 59 18 15 31 58 35 5 22 56 3 17 60 26 29 12 20 48 37 44 40 51 11 30 16 
14 36 4 28 2 50 54 33 9 8 34 43 24 19 0 20 26 46 38 13 15 40 62 59 12 39 16 49 3 37 47 61 41 7 10 56 1 29 18 25 21 32 55 11 60 48 17 30 45 27 5 58 63 57 6 42 35 53 51 23 44 31 22 52 
36 14 33 19 7 39 52 4 49 27 17 22 16 28 1 57 12 10 45 3 53 44 11 58 26 50 24 9 13 55 31 30 56 2 46 41 0 42 48 5 60 35 37 62 21 18 34 61 38 8 25 59 6 20 63 29 32 15 23 51 40 47 43 54 
9 49 28 4 3 29 38 19 14 0 15 21 41 33 8 10 35 57 54 7 34 11 44 61 32 42 56 36 2 5 51 59 24 13 20 16 27 50 6 55 43 12 25 40 22 63 53 58 52 1 37 30 48 46 18 39 26 17 47 31 62 23 60 45 
49 9 19 33 13 42 45 28 36 1 53 60 56 4 27 46 32 20 52 2 17 62 40 30 35 29 41 14 7 25 23 58 16 3 57 24 8 39 63 37 22 26 5 44 43 6 15 59 54 0 55 61 18 10 48 50 12 34 31 47 11 51 21 38 
28 19 9 14 8 20 56 49 4 2 37 58 45 36 3 50 18 42 16 1 5 47 23 22 48 57 38 33 0 34 40 60 52 27 29 54 13 10 26 53 30 63 17 51 61 12 55 21 24 7 15 43 32 39 35 46 6 25 11 62 31 44 59 41 
19 28 49 36 27 57 41 9 33 7 55 59 38 14 13 39 48 29 24 0 25 31 51 43 18 20 45 4 1 17 44 21 54 8 42 52 3 46 12 15 61 6 34 23 30 26 37 60 16 2 53 22 35 50 32 10 63 5 62 11 47 40 58 56 
5 25 34 15 10 0 11 17 37 29 4 6 31 53 50 3 30 7 40 57 28 38 52 32 61 1 47 55 20 9 16 12 23 46 2 51 39 8 21 36 18 59 49 54 48 60 33 26 44 42 14 35 22 13 43 27 58 19 56 41 45 24 63 62 
25 5 17 53 46 1 62 34 55 42 33 63 47 15 39 13 61 2 44 20 19 45 54 35 30 0 31 37 57 49 24 26 51 10 7 23 50 27 60 14 48 58 9 52 18 21 4 12 40 29 36 32 43 3 22 8 59 28 41 56 38 16 6 11 
34 17 5 37 50 2 47 25 15 20 14 26 62 55 10 8 43 1 51 42 9 56 24 48 22 7 11 53 29 28 54 63 44 39 0 40 46 3 58 33 35 60 19 16 32 59 36 6 23 57 4 18 61 27 30 13 21 49 38 45 41 52 12 31 
17 34 25 55 39 7 31 5 53 57 36 12 11 37 46 27 22 0 23 29 49 41 16 18 43 2 62 15 42 19 52 6 40 50 1 44 10 13 59 4 32 21 28 24 35 58 14 63 51 20 33 48 30 8 61 3 60 9 45 38 56 54 26 47 
15 53 37 5 29 3 51 55 34 10 9 35 44 25 20 0 21 27 47 39 14 16 41 63 60 13 40 17 50 4 38 48 62 42 8 11 57 2 30 19 26 22 33 56 12 61 49 18 31 46 28 6 59 1 58 7 43 36 54 52 24 45 32 23 
53 15 55 25 42 13 23 37 17 46 49 32 40 5 57 1 60 8 31 50 36 24 56 6 21 3 44 34 39 33 45 18 11 29 27 62 20 7 61 28 12 43 4 41 26 30 9 48 47 10 19 63 58 0 59 2 22 14 52 54 16 38 35 51 
37 55 15 34 20 8 40 53 5 50 28 18 23 17 29 2 58 13 11 46 4 54 45 12 59 27 51 25 10 14 56 32 31 57 3 47 42 0 43 49 6 61 36 38 63 22 19 35 62 39 9 26 60 7 21 1 30 33 16 24 52 41 48 44 
55 37 53 17 57 27 44 15 25 39 19 48 51 34 42 7 59 3 62 10 33 52 38 26 58 8 23 5 46 36 41 35 47 20 13 31 29 1 22 9 63 30 14 45 6 43 28 32 11 50 49 12 21 2 60 0 61 4 24 16 54 56 18 40 
10 46 50 29 5 4 30 39 20 15 0 16 22 42 34 9 11 36 58 55 8 35 12 45 62 33 43 57 37 3 6 52 60 25 14 21 17 28 51 7 56 44 13 26 41 23 1 54 59 53 2 38 31 49 47 19 40 27 18 48 32 63 24 61 
46 10 39 42 25 33 61 50 57 53 1 24 43 29 17 49 62 14 59 37 27 32 26 38 11 4 22 20 55 13 63 54 21 5 36 60 34 19 23 2 41 40 3 12 56 51 0 52 58 15 7 45 47 9 31 28 44 8 48 18 35 6 16 30 
50 39 10 20 34 14 43 46 29 37 2 54 61 57 5 28 47 33 21 53 3 18 63 41 31 36 30 42 15 8 26 24 59 17 4 58 25 9 40 1 38 23 27 6 45 44 7 16 60 55 0 56 62 19 11 49 51 13 35 32 48 12 52 22 
39 50 46 57 17 36 22 10 42 55 7 52 30 20 25 19 31 4 60 15 13 48 6 56 47 14 61 29 53 27 12 16 58 34 33 59 5 49 44 0 45 51 8 63 38 40 2 24 21 37 1 41 11 28 62 9 23 3 32 35 18 26 54 43 
29 42 20 10 15 9 21 57 50 5 3 38 59 46 37 4 51 19 43 17 2 6 48 24 23 49 58 39 34 0 35 41 61 53 28 30 55 14 11 27 54 31 1 18 52 62 13 56 22 25 8 16 44 33 40 36 47 7 26 12 63 32 45 60 
42 29 57 46 53 49 60 20 39 25 13 45 58 10 55 33 23 28 22 34 7 63 18 16 51 9 59 50 17 1 32 56 30 15 19 61 37 36 62 8 52 47 0 48 54 11 3 41 43 5 27 24 40 4 44 14 31 2 12 26 6 35 38 21 
20 57 29 50 37 28 58 42 10 34 8 56 60 39 15 14 40 49 30 25 0 26 32 52 44 19 21 46 5 2 18 45 22 55 9 43 53 4 47 13 16 62 7 35 24 31 27 38 61 17 3 54 23 36 51 33 11 1 6 63 12 48 41 59 
57 20 42 39 55 19 59 29 46 17 27 41 21 50 53 36 44 9 61 5 1 12 35 54 40 28 60 10 25 7 48 38 43 37 49 22 15 33 31 3 24 11 2 32 16 47 8 45 30 34 13 52 51 14 23 4 62 0 63 6 26 18 56 58 
6 63 26 35 16 11 0 12 18 38 30 5 7 32 54 51 4 31 8 41 58 29 39 53 33 62 2 48 56 21 10 17 13 24 47 3 52 40 9 22 37 19 60 50 55 49 61 34 27 45 43 15 36 23 14 44 28 59 20 57 42 46 25 1 
63 6 12 32 24 62 1 26 48 45 61 25 2 35 52 23 33 47 27 56 59 42 50 15 4 11 7 18 41 60 46 34 3 16 31 13 54 44 49 43 55 28 21 39 37 9 30 17 8 38 22 53 14 51 36 40 19 58 57 20 29 10 5 0 
26 12 6 18 54 47 2 63 35 56 43 34 1 48 16 40 14 62 3 45 21 20 46 55 36 31 0 32 38 58 50 25 27 52 11 8 24 51 28 61 15 49 59 10 53 19 22 5 13 41 30 37 33 44 4 23 9 60 29 42 57 39 17 7 
12 26 63 48 52 31 7 6 32 41 22 17 0 18 24 44 36 11 13 38 60 57 10 37 14 47 1 35 45 59 39 5 8 54 62 27 16 23 19 30 53 9 58 46 15 28 43 25 3 56 61 55 4 40 33 51 49 21 42 29 20 50 34 2 
35 32 18 6 38 51 3 48 26 16 21 15 27 63 56 11 9 44 2 52 43 10 57 25 49 23 8 12 54 30 29 55 1 45 40 0 41 47 4 59 34 36 61 20 17 33 60 37 7 24 58 5 19 62 28 31 14 22 50 39 46 42 53 13 
32 35 48 63 45 23 13 18 12 24 60 53 8 6 41 62 49 40 7 54 22 46 20 5 9 51 27 26 52 61 42 37 0 38 44 1 56 31 33 58 17 14 30 57 34 4 21 55 2 16 59 25 28 11 19 47 36 43 39 50 10 29 15 3 
18 48 35 26 56 40 8 32 6 54 58 37 13 12 38 47 28 23 0 24 30 50 42 17 19 44 3 63 16 43 20 53 7 41 51 2 45 11 14 60 5 33 22 29 25 36 59 15 1 52 21 34 49 31 9 62 4 61 10 46 39 57 55 27 
48 18 32 12 41 44 27 35 63 52 59 55 3 26 45 31 19 51 1 16 61 39 29 34 28 40 13 6 24 22 57 15 2 56 23 7 38 62 36 21 25 4 43 42 5 14 58 53 0 54 60 17 9 47 49 11 33 30 46 10 50 20 37 8 
16 24 54 38 6 30 4 52 56 35 11 10 36 45 26 21 0 22 28 48 40 15 17 42 1 61 14 41 18 51 5 39 49 63 43 9 12 58 3 31 20 27 23 34 57 13 62 50 19 32 47 29 7 60 2 59 8 44 37 55 53 25 46 33 
24 16 52 45 63 61 33 54 41 32 62 46 14 38 12 60 1 43 19 18 44 53 34 29 0 30 36 56 48 23 25 50 9 6 22 49 26 59 13 47 57 8 51 17 20 3 11 39 28 35 31 42 2 21 7 58 27 40 55 37 15 5 10 4 
54 52 16 56 26 43 14 24 38 18 47 50 33 41 6 58 2 61 9 32 51 37 25 57 7 22 4 45 35 40 34 46 19 12 30 28 63 21 8 62 29 13 44 5 42 27 31 10 49 48 11 20 1 59 0 60 3 23 15 53 55 17 39 36 
52 54 24 41 12 22 36 16 45 48 31 39 4 56 63 59 7 30 49 35 23 55 5 20 2 43 33 38 32 44 17 10 28 26 61 19 6 60 27 11 42 3 40 25 29 8 47 46 9 18 62 57 0 58 1 21 13 51 53 15 37 34 50 14 
38 45 56 16 35 21 9 41 54 6 51 29 19 24 18 30 3 59 14 12 47 5 55 46 13 60 28 52 26 11 15 57 33 32 58 4 48 43 0 44 50 7 62 37 39 1 23 20 36 63 40 10 27 61 8 22 2 31 34 17 25 53 42 49 
45 38 41 24 32 60 49 56 52 63 23 42 28 16 48 61 13 58 36 26 31 25 37 10 3 21 19 54 12 62 53 20 4 35 59 33 18 22 1 40 39 2 11 55 50 0 51 57 14 6 44 46 8 30 27 43 7 47 17 34 5 15 29 9 
56 41 38 54 18 58 28 45 16 26 40 20 49 52 35 43 8 60 4 63 11 34 53 39 27 59 9 24 6 47 37 42 36 48 21 14 32 30 2 23 10 1 31 15 46 7 44 29 33 12 51 50 13 22 3 61 0 62 5 25 17 55 57 19 
41 56 45 52 48 59 19 38 24 12 44 57 9 54 32 22 27 21 33 6 62 17 15 50 8 58 49 16 63 31 55 29 14 18 60 36 35 61 7 51 46 0 47 53 10 2 40 42 4 26 23 39 3 43 13 30 1 11 25 5 34 37 20 28 
11 62 47 51 30 6 5 31 40 21 16 0 17 23 43 35 10 12 37 59 56 9 36 13 46 63 34 44 58 38 4 7 53 61 26 15 22 18 29 52 8 57 45 14 27 42 24 2 55 60 54 3 39 32 50 48 20 41 28 19 49 33 1 25 
62 11 31 23 61 63 25 47 44 60 24 1 34 51 22 32 46 26 55 58 41 49 14 3 10 6 17 40 59 45 33 2 15 30 12 53 43 48 42 54 27 20 38 36 8 29 16 7 37 21 52 13 50 35 39 18 57 56 19 28 9 4 0 5 
47 31 11 40 43 26 34 62 51 58 54 2 25 44 30 18 50 63 15 60 38 28 33 27 39 12 5 23 21 56 14 1 55 22 6 37 61 35 20 24 3 42 41 4 13 57 52 0 53 59 16 8 46 48 10 32 29 45 9 49 19 36 7 17 
31 47 62 44 22 12 17 11 23 59 52 7 5 40 61 48 39 6 53 21 45 19 4 8 50 26 25 51 60 41 36 0 37 43 63 55 30 32 57 16 13 29 56 33 3 20 54 1 15 58 24 27 10 18 46 35 42 38 49 9 28 14 2 34 
51 23 40 11 21 35 15 44 47 30 38 3 55 62 58 6 29 48 34 22 54 4 19 1 42 32 37 31 43 16 9 27 25 60 18 5 59 26 10 41 2 39 24 28 7 46 45 8 17 61 56 0 57 63 20 12 50 52 14 36 33 49 13 53 
23 51 44 62 60 32 53 40 31 61 45 13 37 11 59 63 42 18 17 43 52 33 28 0 29 35 55 47 22 24 49 8 5 21 48 25 58 12 46 56 7 50 16 19 2 10 38 27 34 30 41 1 20 6 57 26 39 54 36 14 4 9 3 15 
40 44 51 47 58 18 37 23 11 43 56 8 53 31 21 26 20 32 5 61 16 14 49 7 57 48 15 62 30 54 28 13 17 59 35 34 60 6 50 45 0 46 52 9 1 39 41 3 25 22 38 2 42 12 29 63 10 24 4 33 36 19 27 55 
